long_date,Zip,permit_count
04/1/2018,60637,20
04/1/2018,60638,11
04/1/2018,60639,11
04/1/2018,60640,13
04/1/2018,60641,12
04/1/2018,60642,15
04/1/2018,60643,15
04/1/2018,60644,17
04/1/2018,60645,3
04/1/2018,60646,8
04/1/2018,60647,39
04/1/2018,60649,10
04/1/2018,60651,20
04/1/2018,60652,5
04/1/2018,60653,2
04/1/2018,60654,9
04/1/2018,60655,13
04/1/2018,60656,4
04/1/2018,60657,14
04/1/2018,60659,9
04/1/2018,60660,12
04/1/2018,60661,43
04/1/2019,60602,51
04/1/2019,60605,13
04/1/2019,60607,22
04/1/2019,60608,25
04/1/2019,60609,17
04/1/2019,60610,58
04/1/2019,60611,10
04/1/2019,60612,25
04/1/2019,60613,24
04/1/2019,60614,46
04/1/2019,60615,4
04/1/2019,60616,17
04/1/2019,60617,16
04/1/2019,60618,33
04/1/2019,60619,13
04/1/2019,60620,14
04/1/2019,60621,13
04/1/2019,60622,38
04/1/2019,60623,19
04/1/2019,60625,28
04/1/2019,60626,2
04/1/2019,60628,16
04/1/2019,60629,7
04/1/2019,60630,10
04/1/2019,60631,9
04/1/2019,60632,21
04/1/2019,60634,21
04/1/2019,60636,16
04/1/2019,60637,20
04/1/2019,60638,11
04/1/2019,60639,11
04/1/2019,60640,7
04/1/2019,60641,11
04/1/2019,60642,17
04/1/2019,60643,12
04/1/2019,60644,15
04/1/2019,60645,17
04/1/2019,60646,4
04/1/2019,60647,32
04/1/2019,60649,9
04/1/2019,60651,22
04/1/2019,60652,7
04/1/2019,60653,15
04/1/2019,60654,4
04/1/2019,60655,13
04/1/2019,60656,6
04/1/2019,60657,13
04/1/2019,60659,9
04/1/2019,60660,8
04/1/2019,60661,48
04/1/2020,60602,29
04/1/2020,60605,4
04/1/2020,60607,15
04/1/2020,60608,16
04/1/2020,60609,11
04/1/2020,60610,35
04/1/2020,60611,7
04/1/2020,60612,19
04/1/2020,60613,18
04/1/2020,60614,22
04/1/2020,60615,3
04/1/2020,60616,18
04/1/2020,60617,25
04/1/2020,60618,35
04/1/2020,60619,18
04/1/2020,60620,34
04/1/2020,60621,6
04/1/2020,60622,19
04/1/2020,60623,21
04/1/2020,60625,21
04/1/2020,60626,5
04/1/2020,60628,16
04/1/2020,60629,11
04/1/2020,60630,6
04/1/2020,60631,3
04/1/2020,60632,18
04/1/2020,60633,2
04/1/2020,60634,18
04/1/2020,60636,14
04/1/2020,60637,20
04/1/2020,60638,6
04/1/2020,60639,8
04/1/2020,60640,16
04/1/2020,60641,8
04/1/2020,60642,8
04/1/2020,60643,19
04/1/2020,60644,10
04/1/2020,60645,6
04/1/2020,60646,3
04/1/2020,60647,25
04/1/2020,60649,12
04/1/2020,60651,13
04/1/2020,60652,11
04/1/2020,60653,2
04/1/2020,60654,3
04/1/2020,60655,6
04/1/2020,60656,5
04/1/2020,60657,16
04/1/2020,60659,6
04/1/2020,60660,7
04/1/2020,60661,22
05/1/2017,60602,39
05/1/2017,60605,10
05/1/2017,60607,15
05/1/2017,60608,32
05/1/2017,60609,14
05/1/2017,60610,54
05/1/2017,60611,13
05/1/2017,60612,11
05/1/2017,60613,28
05/1/2017,60614,42
05/1/2017,60615,7
05/1/2017,60616,8
05/1/2017,60617,10
05/1/2017,60618,42
05/1/2017,60619,13
05/1/2017,60620,10
05/1/2017,60621,16
05/1/2017,60622,35
05/1/2017,60623,27
05/1/2017,60624,30
05/1/2017,60625,30
05/1/2017,60626,6
05/1/2017,60628,8
05/1/2017,60629,12
05/1/2017,60630,18
05/1/2017,60631,7
05/1/2017,60632,9
05/1/2017,60633,3
05/1/2017,60634,24
05/1/2017,60636,10
05/1/2017,60637,33
05/1/2017,60638,15
05/1/2017,60639,16
05/1/2017,60640,10
05/1/2017,60641,15
05/1/2017,60642,24
05/1/2017,60643,9
05/1/2017,60644,7
05/1/2017,60645,8
05/1/2017,60646,10
05/1/2017,60647,59
05/1/2017,60649,7
05/1/2017,60651,27
05/1/2017,60652,2
05/1/2017,60653,8
05/1/2017,60654,9
05/1/2017,60655,9
05/1/2017,60656,9
05/1/2017,60657,21
05/1/2017,60659,6
05/1/2017,60660,6
05/1/2017,60661,29
05/1/2018,60602,37
05/1/2018,60605,15
05/1/2018,60607,20
05/1/2018,60608,34
05/1/2018,60609,9
05/1/2018,60610,37
05/1/2018,60611,14
05/1/2018,60612,11
05/1/2018,60613,22
05/1/2018,60614,42
05/1/2018,60615,4
05/1/2018,60616,13
05/1/2018,60617,15
05/1/2018,60618,33
05/1/2018,60619,20
05/1/2018,60620,17
05/1/2018,60621,13
05/1/2018,60622,25
05/1/2018,60623,19
05/1/2018,60624,24
05/1/2018,60625,32
05/1/2018,60626,1
05/1/2018,60628,15
05/1/2018,60629,13
05/1/2018,60630,17
05/1/2018,60631,8
05/1/2018,60632,18
05/1/2018,60633,2
05/1/2018,60634,23
05/1/2018,60636,18
05/1/2018,60637,28
05/1/2018,60638,9
05/1/2018,60639,14
05/1/2018,60640,14
05/1/2018,60641,13
05/1/2018,60642,16
05/1/2018,60643,15
05/1/2018,60644,13
05/1/2018,60645,18
05/1/2018,60646,7
05/1/2018,60647,63
05/1/2018,60649,8
05/1/2018,60651,26
05/1/2018,60652,4
05/1/2018,60653,10
05/1/2018,60654,14
05/1/2018,60655,9
05/1/2018,60656,2
05/1/2018,60657,18
05/1/2018,60659,4
05/1/2018,60660,11
05/1/2018,60661,29
05/1/2019,60602,34
05/1/2019,60605,16
05/1/2019,60607,12
05/1/2019,60608,36
05/1/2019,60609,24
05/1/2019,60610,44
05/1/2019,60611,16
05/1/2019,60612,20
05/1/2019,60613,19
05/1/2019,60614,39
05/1/2019,60615,11
05/1/2019,60616,21
05/1/2019,60617,22
05/1/2019,60618,38
05/1/2019,60619,24
05/1/2019,60620,18
05/1/2019,60621,10
05/1/2019,60622,29
05/1/2019,60623,24
05/1/2019,60625,35
05/1/2019,60626,7
05/1/2019,60628,24
05/1/2019,60629,12
05/1/2019,60630,22
05/1/2019,60631,9
05/1/2019,60632,14
05/1/2019,60633,3
05/1/2019,60634,28
05/1/2019,60636,22
05/1/2019,60637,26
05/1/2019,60638,8
05/1/2019,60639,22
05/1/2019,60640,13
05/1/2019,60641,13
05/1/2019,60642,20
05/1/2019,60643,12
05/1/2019,60644,14
05/1/2019,60645,17
05/1/2019,60646,7
05/1/2019,60647,53
05/1/2019,60649,11
05/1/2019,60651,12
05/1/2019,60652,8
05/1/2019,60653,16
05/1/2019,60654,9
05/1/2019,60655,11
05/1/2019,60656,3
05/1/2019,60657,24
05/1/2019,60659,14
05/1/2019,60660,7
05/1/2019,60661,31
05/1/2020,60602,17
05/1/2020,60605,2
05/1/2020,60607,6
05/1/2020,60608,20
05/1/2020,60609,10
05/1/2020,60610,31
05/1/2020,60611,10
05/1/2020,60612,12
05/1/2020,60613,10
05/1/2020,60614,18
05/1/2020,60615,6
05/1/2020,60616,5
05/1/2020,60617,17
05/1/2020,60618,24
