lat,lng,detail,Zip
41.95,-87.67,"{'house_number': '3739', 'road': 'North Marshfield Avenue', 'neighbourhood': 'Lake View', 'suburb': 'Roscoe Village', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60613', 'country': 'United States of America', 'country_code': 'us'}",60613
41.96,-87.67,"{'house_number': '4301-4303', 'road': 'North Paulina Street', 'neighbourhood': 'Lake View', 'suburb': 'Uptown', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60613', 'country': 'United States of America', 'country_code': 'us'}",60613
41.95,-87.65,"{'house_number': '801-811', 'road': 'West Bradley Place', 'neighbourhood': 'Lake View', 'suburb': 'Lakeview', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60613', 'country': 'United States of America', 'country_code': 'us'}",60613
41.95,-87.66,"{'house_number': '3731', 'road': 'North Magnolia Avenue', 'neighbourhood': 'Lake View', 'suburb': 'Lakeview', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60613', 'country': 'United States of America', 'country_code': 'us'}",60613
41.96,-87.66,"{'historic': 'Ernie Banks', 'road': 'West Montrose Avenue', 'neighbourhood': 'Sunnyside', 'suburb': 'Uptown', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60613', 'country': 'United States of America', 'country_code': 'us'}",60613
41.96,-87.65,"{'house_number': '4242', 'road': 'North Clarendon Avenue', 'neighbourhood': 'Buena Park', 'suburb': 'Uptown', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60613', 'country': 'United States of America', 'country_code': 'us'}",60613
41.96,-87.64,"{'man_made': 'Harbor Light', 'road': 'West Montrose Harbor Drive', 'suburb': 'Uptown', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60613', 'country': 'United States of America', 'country_code': 'us'}",60613
41.93,-87.64,"{'building': '2626 North Lakeview', 'house_number': '2626', 'road': 'North Lakeview Avenue', 'neighbourhood': 'Lincoln Park', 'suburb': 'Lincoln Park', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60614', 'country': 'United States of America', 'country_code': 'us'}",60614
41.92,-87.64,"{'house_number': '425-427', 'road': 'West Dickens Avenue', 'neighbourhood': 'Lincoln Park', 'suburb': 'Lincoln Park', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60614', 'country': 'United States of America', 'country_code': 'us'}",60614
41.93,-87.66,"{'house_number': '2634', 'road': 'North Magnolia Avenue', 'neighbourhood': 'Lincoln Park', 'suburb': 'Lakeview', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60614', 'country': 'United States of America', 'country_code': 'us'}",60614
41.92,-87.65,"{'house_number': '843', 'road': 'West Dickens Avenue', 'neighbourhood': 'Lincoln Park', 'suburb': 'Lincoln Park', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60614', 'country': 'United States of America', 'country_code': 'us'}",60614
41.91,-87.64,"{'house_number': '1522', 'road': 'North Hudson Avenue', 'neighbourhood': 'Near North Side', 'suburb': 'Lincoln Park', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60614', 'country': 'United States of America', 'country_code': 'us'}",60614
41.93,-87.65,"{'house_number': '2629-2631', 'road': 'North Dayton Street', 'neighbourhood': 'Lincoln Park', 'suburb': 'Lincoln Park', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60614', 'country': 'United States of America', 'country_code': 'us'}",60614
41.93,-87.67,"{'house_number': '2642', 'road': 'North Marshfield Avenue', 'neighbourhood': 'Lincoln Park', 'suburb': 'Roscoe Village', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60614', 'country': 'United States of America', 'country_code': 'us'}",60614
